
OccupationCode|EducationLevel
25-1065.00|Doctoral Degree
25-1066.00|Doctoral Degree
25-1066.00|Master's Degree
25-1066.00|Post-Doctoral Training
25-1067.00|Doctoral Degree
25-1067.00|Master's Degree
25-1071.00|Bachelor's Degree
25-1071.00|Doctoral Degree
25-1071.00|Master's Degree
25-1071.00|Post-Doctoral Training
25-1072.00|Bachelor's Degree
25-1072.00|Doctoral Degree
25-1072.00|Master's Degree
25-1072.00|Post-Doctoral Training
25-1081.00|Doctoral Degree
25-1081.00|Master's Degree
25-1082.00|Doctoral Degree
25-1082.00|Master's Degree
25-1082.00|Post-Doctoral Training
25-1111.00|Associate's Degree (or other 2-year degree)
25-1111.00|Doctoral Degree
25-1111.00|Master's Degree
25-1111.00|Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.
25-1111.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
25-1112.00|Doctoral Degree
25-1112.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
25-1112.00|Master's Degree
25-1113.00|Doctoral Degree
25-1113.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
25-1113.00|Master's Degree
25-1121.00|Bachelor's Degree
25-1121.00|Doctoral Degree
25-1121.00|Master's Degree
25-1122.00|Doctoral Degree
25-1122.00|Master's Degree
25-1122.00|Post-Doctoral Training
25-1123.00|Doctoral Degree
25-1123.00|Less than a High School Diploma
25-1123.00|Master's Degree
25-1124.00|Bachelor's Degree
25-1124.00|Doctoral Degree
25-1124.00|Master's Degree
25-1126.00|Doctoral Degree
25-1126.00|Master's Degree
25-1126.00|Post-Doctoral Training
25-1192.00|Doctoral Degree
25-1192.00|Master's Degree
25-1192.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-1193.00|Bachelor's Degree
25-1193.00|Doctoral Degree
25-1193.00|Master's Degree
25-1194.00|Associate's Degree (or other 2-year degree)
25-1194.00|Bachelor's Degree
25-1194.00|Master's Degree
25-1194.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
25-1194.00|Some College Courses
25-2011.00|Associate's Degree (or other 2-year degree)
25-2011.00|Bachelor's Degree
25-2011.00|High School Diploma - or the equivalent (for example, GED)
25-2011.00|Master's Degree
25-2011.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
25-2011.00|Some College Courses
25-2012.00|Bachelor's Degree
25-2012.00|Master's Degree
25-2012.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2021.00|Bachelor's Degree
25-2021.00|Master's Degree
25-2021.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2022.00|Associate's Degree (or other 2-year degree)
25-2022.00|Bachelor's Degree
25-2022.00|Master's Degree
25-2022.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2023.00|Bachelor's Degree
25-2023.00|Master's Degree
25-2023.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2031.00|Bachelor's Degree
25-2031.00|Master's Degree
25-2031.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2032.00|Bachelor's Degree
25-2032.00|Master's Degree
25-2032.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
25-2051.00|Bachelor's Degree
25-2051.00|First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.
25-2051.00|Master's Degree
25-2051.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2057.00|Bachelor's Degree
25-2057.00|Master's Degree
25-2057.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-2058.00|Bachelor's Degree
25-2058.00|Master's Degree
25-2058.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-3011.00|Associate's Degree (or other 2-year degree)
25-3011.00|Bachelor's Degree
25-3011.00|High School Diploma - or the equivalent (for example, GED)
25-3011.00|Master's Degree
25-3011.00|Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.
25-3021.00|Associate's Degree (or other 2-year degree)
25-3021.00|Bachelor's Degree
25-3021.00|High School Diploma - or the equivalent (for example, GED)
25-3021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
